R1Locations1,R1Locations2
-551,-1321
-551,-1325
-557,-1324
-557,-1327
-565,-1317
-566,-1327
-566,-1330
-570,-1328
-571,-1326
-574,-1322
-575,-1323
-577,-1325
-577,-1327
-578,-1325
-578,-1326
-578,-1380
-580,-1318
-580,-1380
-583,-1380
-583,-1381
-583,-1382
-584,-1362
-585,-1319
-586,-1326
-586,-1381
-586,-1382
-587,-1319
-587,-1381
-588,-1317
-588,-1326
-588,-1383
-590,-1383
-590,-1384
-591,-1380
-591,-1384
-592,-1312
-593,-1312
-593,-1384
-594,-1382
-594,-1385
-596,-1362
-597,-1325
-597,-1327
-597,-1380
-599,-1380
-599,-1383
-600,-1320
-600,-1323
-600,-1326
-600,-1381
-601,-1329
-601,-1378
-601,-1380
-601,-1382
-601,-1384
-602,-1381
-602,-1385
-603,-1356
-603,-1357
-603,-1362
-603,-1378
-603,-1382
-604,-1384
-604,-1385
-605,-1322
-605,-1386
-606,-1319
-606,-1378
-606,-1381
-607,-1318
-607,-1325
-607,-1379
-607,-1383
-607,-1384
-608,-1379
-608,-1384
-608,-1385
-608,-1386
-609,-1318
-609,-1363
-609,-1374
-609,-1381
-609,-1386
-610,-1386
-610,-1388
-611,-1320
-611,-1323
-611,-1382
-611,-1384
-611,-1387
-612,-1388
-613,-1378
-613,-1389
-614,-1376
-614,-1379
-614,-1380
-614,-1383
-614,-1384
-614,-1385
-614,-1388
-614,-1389
-615,-1377
-615,-1378
-616,-1375
-616,-1385
-616,-1387
-617,-1323
-617,-1374
-617,-1376
-617,-1385
-617,-1388
-618,-1372
-618,-1373
-618,-1375
-619,-1382
-619,-1387
-619,-1389
-619,-1391
-620,-1315
-620,-1374
-620,-1377
-620,-1378
-620,-1379
-620,-1380
-620,-1385
-620,-1388
-620,-1389
-620,-1390
-620,-1391
-621,-1381
-622,-1321
-622,-1324
-622,-1368
-622,-1387
-623,-1376
-623,-1381
-623,-1388
-624,-1374
-624,-1375
-624,-1389
